Name_cn,ID,Last_Name,Zi,Name_en,Affiliation,Dynasty,Birth_year,Death_year,Life_Span,Father,Father_ID,Native_place,Gender,Jun,Xian,Note,
赵娥,464,赵,,Zhao e,汉,EastHan,,,,赵安,463,,F,,,赵安女，庞淯母。其父为李寿所杀，后手刃李寿为父报仇,
尹嘉,465,尹,,Yin jia,汉,EastHan,,,,,,,,,,禄福长，见庞淯传,
周洪,466,周,,Zhou hong,汉,EastHan,,,,,,,,,,见庞淯传裴松之注烈女传，曾任凉州刺史,
刘班,467,刘,,Liu ban,汉,EastHan,,,,,,,,,,见庞淯传裴松之注烈女传，曾任酒泉太守,
梁宽,468,梁,,Liang kuan,汉,EastHan,,,,,,安定,,安定,,见庞淯传裴松之注烈女传，曾任黄门侍郎,
阎温,469,阎,伯俭,Yan wen,汉,EastHan,,213,,,,天水西城,,天水,西城,曾任上邽令,
任养,470,任,,Ren yang,汉,EastHan,,,,,,上邽,,上邽,,见阎温传，“马超走奔上邽，郡人任养等举众迎之”,
马艾,471,马,,Ma ai,汉,EastHan,,,,,,,,,,任敦煌太守，卒官,
张就,472,张,,Zhang jiu,魏,Wei,,,,张恭,210,敦煌渊泉,,敦煌,渊泉,张恭子，为金城太守，父子著称于西州,
张华,473,张,,Zhang hua,魏,Wei,,,,,,敦煌渊泉,,敦煌,渊泉,张恭从弟,
张𢽾,474,张,祖文,Zhang 𢽾,魏,Wei,,,,张就,472,敦煌渊泉,,敦煌,渊泉,张就子，官至匈奴中郎将,
张固,475,张,元安,Zhang gu,魏,Wei,,,,张𢽾,474,敦煌渊泉,,敦煌,渊泉,张𢽾子，官至黄门郎，早卒,
王濬,476,王,士治,Wang jun,晋,Jin,206,286,81,,,弘农湖县,,弘农,湖县,灭吴，官至抚军大将军,
孙嵩,477,孙,宾硕,Sun song,汉,EastHan,,195,,,,北海安丘,,北海,安丘,见魏略勇侠传,
赵岐,478,赵,邠卿,Zhao qi,汉,EastHan,108,201,94,,,京兆长陵,,京兆,长陵,,
唐衡,479,唐,,Tang heng,汉,EastHan,,164,,,,颍川郾县,,颍川,郾县,宦官，其女为荀彧妻,
唐玹,480,唐,,Tang xuan,汉,EastHan,,,,,,,,,,唐衡兄，官至京兆尹,
祝公道,481,祝,,Zhu gongdao,魏,Wei,,,,,,,,,,见魏略勇侠传,
杨丰,482,杨,伯阳,Yang feng,魏,Wei,,,,,,,,,,又称杨阿若，见魏略勇侠传,
鲍出,483,鲍,文才,Bao chu,魏,Wei,,,,,,京兆新丰,,京兆,新丰,见魏略勇侠传,
赵息,484,赵,,Zhao xi,汉,EastHan,,,,,,,,,,赵岐从子，任京兆尹功曹,
赵仲台,485,赵,,Zhao zhongtai,汉,EastHan,,,,,,,,,,赵息从父，为唐玹所杀,
左悺,486,左,,Zuo guan,汉,EastHan,,165,,,,河南平阳,,河南,平阳,宦官，后自杀,
刘封,487,刘,,Liu feng,魏,Wei,,220,,,,长沙罗县,,长沙,罗县,原姓寇，今枝江人，官至副军将军,
轲比能,488,轲,,Ke bineng,魏,Wei,,235,,,,,,,,鲜卑首领，为魏幽州刺史王熊所派刺客韩龙所杀,
曹植,489,曹,子建,Cao zhi,魏,Wei,192,232,41,曹操,4,沛国谯县,,沛国,谯县,,
曹楷,490,曹,,Cao kai,魏,Wei,,,,曹彰,221,沛国谯县,,沛国,谯县,曹彰嗣子，或言曹芳即为曹楷子,
曹志,491,曹,允恭,Cao zhi,晋,Jin,,288,,曹植,489,沛国谯县,,沛国,谯县,曹植之庶少子,
丁仪,492,丁,正礼,Ding yi,魏,Wei,,,,,,沛国,,沛国,,曾任西曹掾、右刺奸掾。与弟丁廙同为曹植亲信，后为曹丕夷三族,
丁廙,493,丁,敬礼,Ding yi,魏,Wei,,220,,,,沛国,,沛国,,建安中任黄门侍郎,
杨修,494,杨,德祖,Yang xiu,汉,EastHan,175,219,45,杨彪,495,弘农华阴,,弘农,华阴,袁术外甥，杨彪子,
杨彪,495,杨,文先,Yang biao,魏,Wei,142,225,84,,,弘农华阴,,弘农,华阴,,
陈琳,496,陈,孔璋,Chen lin,汉,EastHan,,217,,,,广陵射阳,,广陵,射阳,建安七子之一,
徐干,497,徐,伟长,Xu gan,汉,EastHan,171,217,47,,,北海剧县,,北海,剧县,建安七子之一,
刘桢,498,刘,公干,Liu zhen,汉,EastHan,,217,,刘梁,507,东平宁阳,,东平,宁阳,建安七子之一,
应玚,499,应,德琏,Ying yang,汉,EastHan,,217,,应珣,505,汝南南顿,,汝南,南顿,建安七子之一，伯父应劭，应璩之兄,
应璩,500,应,休琏,Ying qu,魏,Wei,190,252,63,应珣,505,汝南南顿,,汝南,南顿,应玚弟，官至侍中,
王谦,501,王,,Wang qian,汉,EastHan,,,,,,山阳高平,,山阳,高平,王粲父，任大将军何进长史,
蔡邕,502,蔡,伯喈,Cai yong,汉,EastHan,133,192,60,,,陈留圉,,陈留,圉,蔡琰父，官至东汉左中郎将，博学，续写《东观汉纪》,
阮瑀,503,阮,元瑜,Ruan yu,汉,EastHan,,212,,,,陈留尉氏,,陈留,尉氏,阮籍父,
阮籍,504,阮,嗣宗,Ruan ji,魏,Wei,210,263,54,阮瑀,503,陈留尉氏,,陈留,尉氏,竹林七贤之一,
应珣,505,应,季瑜,Ying xun,汉,EastHan,,,,,,汝南南顿,,汝南,南顿,应璩，应玚父,
应奉,506,应,世叔,Ying feng,汉,EastHan,,,,,,汝南南顿,,汝南,南顿,应珣，应劭父，官至东汉司隶校尉,
刘梁,507,刘,曼山,Liu liang,汉,EastHan,,,,,,东平宁阳,,东平,宁阳,刘桢父，终于野王令,
吴质,508,吴,季重,Wu zhi,魏,Wei,177,230,54,,,济阴,,济阴,,与曹丕兄弟交好，官至振威将军，督河北诸军事,
繁钦,509,繁,休伯,Fan qin,汉,EastHan,,218,,,,颍川,,颍川,,曾任曹操主簿,
路粹,510,路,文蔚,Lu cui,汉,EastHan,,214,,,,陈留,,陈留,,,
祢衡,511,祢,正平,Mi heng,汉,EastHan,173,198,26,,,平原般县,,平原,般县,为黄祖所杀,
应贞,512,应,吉甫,Ying zhen,晋,Jin,,269,,应璩,500,汝南南顿,,汝南,南顿,应璩之子,
应纯,513,应,,Ying chun,晋,Jin,,,,应璩,500,汝南南顿,,汝南,南顿,应贞弟,
应绍,514,应,,Ying shao,晋,Jin,,,,应纯,513,汝南南顿,,汝南,南顿,晋黄门侍郎，为司马越所杀,
应秀,515,应,,Ying xiu,晋,Jin,,,,应璩,500,汝南南顿,,汝南,南顿,应纯弟,
应詹,516,应,,Ying zhan,晋,Jin,,,,应秀,515,汝南南顿,,汝南,南顿,应秀子，晋镇南大将军，江州刺史,
王昶,517,王,文舒,Wang chang,魏,Wei,,259,,,,太原晋阳,,太原,晋阳,曹魏司空，王浑父。少与王凌齐名。为司马懿所举，长守淮南，持节都督荆豫诸军事。与平诸葛诞乱,
何曾,518,何,颖考,He ceng,魏，晋,Jin,199,279,81,何夔,1703,陈国阳夏,,陈国,阳夏,曹魏太仆何夔之子，官至晋太保，太傅，太宰,
阮浑,519,阮,长成,Ruan hun,晋,Jin,,,,阮籍,504,陈留尉氏,,陈留,尉氏,阮籍子，为晋太子庶子，早卒。,
嵇康,520,嵇,叔夜,Ji kang,魏,Wei,223,263,41,嵇昭,521,谯郡铚,,谯郡,铚,官至曹魏中散大夫,
嵇昭,521,嵇,子远,Ji zhao,魏,Wei,,,,,,谯郡铚,,谯郡,铚,嵇康父，尝任曹魏督军粮治书侍御史,
嵇喜,522,嵇,公穆,Ji xi,魏,Wei,,,,嵇昭,521,谯郡铚,,谯郡,铚,嵇康兄,
向秀,523,向,子期,Xiang xiu,晋,Jin,227,272,46,,,河内怀,,河内,怀,嵇康，吕安死后入仕,
山涛,524,山,巨源,Shan tao,晋,Jin,205,283,79,,,河内怀,,河内,怀,官至晋司徒,
阮咸,525,阮,仲容,Ruan xian,晋,Jin,,,,,,陈留尉氏,,陈留,尉氏,阮籍侄,
王戎,526,王,濬冲,Wang rong,晋,Jin,234,305,72,王浑,753,琅邪临沂,,琅邪,临沂,凉州刺史王浑之子（非王昶之子王浑），官至晋司徒，封安丰侯,
刘伶,527,刘,伯伦,Liu ling,晋,Jin,,300,,,,沛国,,沛国,,,
钟会,528,钟,士季,Zhong hui,魏,Wei,225,264,40,钟繇,173,颍川长社,,颍川,长社,钟繇幼子。历仕秘书郎，尚书中书侍郎。伐蜀，任镇西将军，假节都督关中诸军事。谋反，死,
孙登,529,孙,,Sun deng,魏,Wei,,,,,,,,,,隐士,
嵇绍,530,嵇,嵇绍,Ji shao,晋,Jin,253,304,52,嵇康,520,谯郡铚,,谯郡,铚,嵇康子，官至侍中,
山简,531,山,季伦,Shan jian,晋,Jin,253,312,60,山涛,524,河内怀,,河内,怀,山涛子，西晋征南将军,
杨准,532,杨,杨准,Yang zhun,晋,Jin,,306,,杨嚣,549,弘农华阴,,弘农,华阴,杨修之孙，与嵇绍、山简、乐广同好友善,
桓威,533,桓,,Huan wei,魏,Wei,,,,,,下邳,,下邳,,仕曹魏，出自孤微，颇有文名，后为安成令,
朱铄,534,朱,彦才,Zhu shuo,魏,Wei,,,,,,谯郡,,谯郡,,官至领军，为曹丕友,
王忠,535,王,,Wang zhong,魏,Wei,,242,,,,司隶扶风,,司隶,扶风,刘备杀车胄，曹操派王忠与刘岱一起讨伐刘备，败绩。官至轻车将军,
吴应,536,吴,,Wu ying,晋,Jin,,,,吴质,508,,,,,吴质嗣子，西晋尚书,
卫觊,537,卫,伯儒,Wei ji,魏,Wei,168,229,62,,,河东安邑,,河东,安邑,有才学，善书法。官至曹魏尚书，侍中,
潘勖,538,潘,元茂,Pan xu,汉,EastHan,,215,,,,河南中牟,,河南,中牟,任曹魏尚书左丞。《册魏公九锡文》、《尚书令荀彧碑》等出自其手笔,
潘满,539,潘,,Pan man,魏,Wei,,,,潘勖,538,河南中牟,,河南,中牟,潘勖子，官至平原太守，以学行称,
潘尼,540,潘,正叔,Pan ni,魏,Wei,,,,潘满,539,河南中牟,,河南,中牟,潘满子，官至晋中书令,
潘岳,541,潘,安仁,Pan yue,晋,Jin,247,300,54,,,河南中牟,,河南,中牟,曾任太尉主簿，谄附贾谧，获罪于孙秀，夷三族,
潘滔,542,潘,汤仲,Pan tao,魏,Wei,,,,,,河南中牟,,河南,中牟,潘尼从子。永嘉末，为河南尹，遇害,
王象,543,王,羲伯,Wang xiang,魏,Wei,,,,,,河内,,河内,,曹魏散骑常侍，有文采,
荀纬,544,荀,公高,Xun wei,魏,Wei,182,223,42,,,河内,,河内,,曹魏越骑校尉，有文采,
卫瓘,545,卫,伯玉,Wei guan,晋,Jin,220,291,72,卫觊,537,河东安邑,,河东,安邑,卫觊之子，仕魏，晋。伐蜀，为持节监军。官至晋太保，八王之乱，为贾后所诬，为司马玮所杀,
司马遐,546,司,深度,Si maxia,晋,Jin,273,300,28,司马炎,1702,,,,,司马炎第十三子,
索靖,547,索,幼安,Suo jing,晋,Jin,239,303,65,,,敦煌,,敦煌,,仕晋，书法家，伐司马乂，破敌，然自己受伤而死,
刘修,548,刘,季绪,Liu xiu,晋,Jin,,,,刘表,80,,,,,刘表子，官至东安太守,
杨嚣,549,杨,,Yang xiao,晋,Jin,,,,杨修,494,弘农华阴,,弘农,华阴,杨修之子，晋初为典军将军，受心膂之任，早卒,
杨峤,550,杨,国彦,Yang jiao,晋,Jin,,,,杨准,532,,,,,杨准子，为二千石,
杨俊,551,杨,惠彦,Yang jun,晋,Jin,,,,杨准,532,,,,,杨准子，官至太傅掾,
杨髦,552,杨,士彦,Yang mao,晋,Jin,,,,杨准,532,,,,,杨准子，为二千石,
裴𬱟,553,裴,逸民,Pei 𬱟,晋,Jin,267,300,34,裴秀,718,河东闻喜,,河东,闻喜,裴秀少子，司马氏近臣，著有《崇有论》。为司马伦所害,
乐广,554,乐,彦辅,Le guang,晋,Jin,,304,,乐方,#N/A,南阳淯阳,,南阳,淯阳,官至西晋尚书令，有声望。,
卫恒,555,卫,巨山,Wei heng,晋,Jin,,291,,卫瓘,545,河东安邑,,河东,安邑,卫瓘子，与其父同被杀,
卫玠,556,卫,叔宝,Wei jie,晋,Jin,286,312,27,卫恒,555,河东安邑,,河东,安邑,卫恒子，西晋太子洗马,
刘廙,557,刘,恭嗣,Liu yi,魏,Wei,180,221,42,,,南阳安众,,南阳,安众,初为曹操辟为丞相掾属，官至曹魏侍中,
刘望之,558,刘,,Liu wangzhi,汉,EastHan,,,,,,,,,,刘廙兄，为刘表所杀,
司马徽,559,司马,德操,Sima hui,汉,EastHan,,208,,,,颍川阳翟,,颍川,阳翟,汉末名士，号为水镜先生，移居荆州。曹操破荆州，得之，欲大用，卒,
刘伟,560,刘,,Liu wei,汉,EastHan,,,,,,南阳安众,,南阳,安众,刘廙弟，魏讽反，词连之，诛,
刘阜,561,刘,伯陵,Liu fu,魏,Wei,,,,,,南阳安众,,南阳,安众,刘廙弟之子，刘廙无子，嗣其爵。,
刘乔,562,刘,仲彦,Liu qiao,晋,Jin,249,311,63,刘阜,561,南阳安众,,南阳,安众,刘阜子，仕西晋，初为秘书郎，参与灭吴，又与诛除贾谧。八王之乱中颇助司马颙。终为石勒俘杀,
刘劭,563,刘,孔才,Liu shao,魏,Wei,,,,,,广平邯郸,,广平,邯郸,曹魏时曾担任尚书郎、散骑侍郎、陈留太守,
王彪之,564,王,叔虎,Wang biaozhi,晋,Jin,305,377,73,王彬,#N/A,琅邪临沂,,琅邪,临沂,王彬之子，王导之堂侄。官至尚书令,
殷浩,565,殷,渊源,Yin hao,晋,Jin,,356,,,,陈郡长平,,陈郡,长平,,
郗虑,566,郗,鸿予,Chi lv,魏,Wei,,,,,,山阳高平,,山阳,高平,建安初任侍中，与孔融不和。曹操为相，升御史大夫。,
庾嶷,567,庾,邵然,Yu yi,魏,Wei,,,,,,颍川鄢陵,,颍川,鄢陵,正始间官至太仆卿,
荀诜,568,荀,曼倩,Xun shen,魏,Wei,,,,荀彧,52,颍川颍阴,,颍川,颍阴,荀彧子，大将军从事中郎，与司空陈群、刘邵等删约旧科，傍采汉律，作《新律》、《律略》,
张弥,569,张,,Zhang mi,吴,Wu,,,,,,,,,,官至吴太常，使公孙渊，为其所杀,
夏侯惠,570,夏侯,稚权,Xiahou hui,魏,Wei,,,,夏侯渊,147,沛国谯,,沛国,谯,夏侯渊第六子，年三十七卒,
刘琳,571,刘,,Liu lin,魏,Wei,,,,刘劭,563,,,,,刘劭嗣子,
缪斐,572,缪,文雅,Mou fei,汉,EastHan,,,,,,东海兰陵,,东海,兰陵,缪袭父，东汉名士,
缪悦,573,缪,孔怿,Mou yue,晋,Jin,,,,缪袭,141,东海兰陵,,东海,兰陵,缪袭子，晋光禄大夫,
缪播,574,缪,宣则,Mou bo,晋,Jin,,309,,缪悦,573,东海兰陵,,东海,兰陵,缪悦子，官至晋中书令，与司马炽交好，司马越诬其为乱，杀之,
缪绍,575,缪,,Mou shao,晋,Jin,,,,缪悦,573,东海兰陵,,东海,兰陵,缪悦子,
缪胤,576,缪,休祖,Mou yin,晋,Jin,,309,,缪悦,573,东海兰陵,,东海,兰陵,缪悦子，官至太仆卿，与其兄缪播同为司马越所杀,
缪征,577,缪,,Mou zheng,晋,Jin,,,,缪悦,573,东海兰陵,,东海,兰陵,缪悦子,
仲长统,578,仲,公理,Zhong changtong,魏,Wei,180,220,41,,,山阳高平,,山阳,高平,东汉名士，曾参曹操军事,
韦诞,579,韦,仲将,Wei dan,魏,Wei,179,253,75,韦端,580,京兆杜陵,,京兆,杜陵,曹魏正始年间迁侍中、中书监，以光禄大夫致仕,
韦端,580,韦,休甫,Wei duan,汉,EastHan,,,,,,京兆杜陵,,京兆,杜陵,韦诞父，东汉末至三国，官至凉州牧，太仆。韩遂与马腾互相攻杀，曹操遣韦端与钟繇调和之,
孙该,581,孙,公达,Sun gai,魏,Wei,,261,,,,任城,,任城,,曹魏官员、史学家、文学家、辞赋家,
杜挚,582,杜,德鲁,Du zhi,魏,Wei,,,,,,河东,,河东,,任曹魏郎中令，卒于祕书,
胡康,583,胡,,Hu kang,魏,Wei,,,,,,沛国,,沛国,,魏明帝时以异才见送，号为神童，后以过见谴,存疑
何桢,584,何,元干,He zhen,魏,Wei,,,,,,庐江灊县,,庐江,灊县,曹魏弘农郡太守、幽州刺史、廷尉、晋尚书，终官至西晋光禄大夫,
傅嘏,585,傅,兰石,Fu gu,魏,Wei,209,255,47,傅允,587,北地泥阳,,北地,泥阳,傅巽之侄。曾辅司马师，司马昭。少有才名,
傅睿,586,傅,,Fu rui,汉,EastHan,,,,,,北地泥阳,,北地,泥阳,傅嘏祖父，东汉代郡太守,
傅允,587,傅,,Fu yun,汉,EastHan,,,,傅睿,586,北地泥阳,,北地,泥阳,傅嘏父亲，东汉黄门侍郎,
曹羲,588,曹,昭叔,Cao xi,魏,Wei,,249,,曹真,13,沛国谯,,沛国,谯,曹真子，曹爽弟,
司马芝,589,司马,子华,Sima zhi,魏,Wei,,,,,,河内温县,,河内,温县,司马懿族兄，曹魏河南尹,
刘静,590,刘,,Liu jing,魏,Wei,,,,,,,,,,见傅嘏传裴松之注，任河南尹，“综其目而太密”,
李胜,591,李,公昭,Li sheng,魏,Wei,,249,,,,,,南阳,,曹爽党，夷三族,
斐徽,592,斐,,Fei hui,魏,Wei,,,,,,,,,,冀州刺史，见傅嘏传裴松之注,
傅祗,593,傅,子庄,Fu zhi,晋,Jin,245,312,68,傅嘏,585,北地泥阳,,北地,泥阳,傅嘏嗣子，官至西晋司徒,
傅宣,594,傅,世弘,Fu xuan,晋,Jin,,,,傅祗,593,北地泥阳,,北地,泥阳,傅祗子，西晋御史中丞,
傅畅,595,傅,世道,Fu chang,晋,Jin,,330,,傅祗,593,北地泥阳,,北地,泥阳,傅祗子，仕西晋至秘书丞，陷于石勒，为大将军右司马,
桓阶,596,桓,伯绪,Huan jie,汉,EastHan,,,,桓超,597,长沙临湘,,长沙,临湘,仕郡功曹，孙坚举为孝廉。曹操定荆州，辟为丞相主簿，官至尚书令，加侍中,
桓超,597,桓,,Huan chao,汉,EastHan,,,,桓胜,598,长沙临湘,,长沙,临湘,桓阶父,
桓胜,598,桓,,Huan sheng,汉,EastHan,,,,,,长沙临湘,,长沙,临湘,桓阶祖,
张羡,599,张,,Zhang xian,汉,EastHan,,,,,,南阳,,南阳,,历官零陵、桂阳太守，官至长沙太守，与刘表不和，欲结曹操，为刘表所攻，病死,
毛玠,600,毛,孝先,Mao jie,汉,EastHan,,216,,,,陈留平丘,,陈留,平丘,事曹操，官尚书仆射，“清公素履”,
徐奕,601,徐,季才,Xu yi,汉,EastHan,,,,,,东莞郡,,东莞,,东汉末官员，为人忠直刚蹇,
桓嘉,602,桓,,Huan jia,魏,Wei,,,,桓阶,596,长沙临湘,,长沙,临湘,桓阶嗣子，官至乐安太守，与吴战于东关，没于军,
桓纂,603,桓,,Huan zuan,魏,Wei,,,,,,长沙临湘,,长沙,临湘,桓阶弟，官至散骑侍郎,
桓翊,604,桓,,Huan yi,魏,Wei,,,,桓嘉,602,长沙临湘,,长沙,临湘,桓嘉嗣子,
桓陵,605,桓,元徽,Huan ling,晋,Jin,,,,,,长沙临湘,,长沙,临湘,桓阶之孙，仕晋，官至荥阳太守,
陈纪,606,陈,元方,Chen ji,汉,EastHan,129,199,71,陈寔,607,颍川许昌,,颍川,许昌,陈寔子，陈群父，汉末名士，建安元年任大鸿胪,
陈寔,607,陈,仲弓,Chen shi,汉,EastHan,104,186,83,,,颍川许昌,,颍川,许昌,汉桓帝时任太丘县长,
陈谌,608,陈,季方,Chen chen,汉,EastHan,,,,陈寔,607,颍川许昌,,颍川,许昌,陈纪弟。同父兄皆有盛名，尝任司空掾，早卒,
韩融,609,韩,元长,Han rong,汉,EastHan,,,,,,颍川舞阳,,颍川,舞阳,东汉末官至大鸿胪（为董卓所辟），太仆,
郭泰,610,郭,林宗,Guo tai,汉,EastHan,,,,,,太原介休,,太原,介休,汉末名士。以字行,
王模,611,王,,Wang mo,汉,EastHan,,199,,,,青州,,乐安,,历仕陶谦、刘备、吕布、曹操，坐奸宄诛,
周逵,612,周,,Zhou kui,汉,EastHan,,199,,,,徐州,,下邳,,事迹同王模,
戴乾,613,戴,,Dai gan,汉,EastHan,,,,,,丹阳,,丹阳,,由陈群所荐，仕曹操。后吴人叛，戴乾死难,
陈泰,614,陈,玄伯,Chen tai,魏,Wei,,260,,陈群,85,颍川许昌,,颍川,许昌,陈群子，母为荀彧之女，荀𫖮为其舅。数与郭淮邓艾阻姜维,
姜维,615,姜,伯约,Jiang wei,魏,Wei,202,264,63,姜冏,1524,天水冀县,,天水,冀县,原为曹魏天水中郎将，后降蜀汉。诸葛亮死，总兵权，数伐魏,
孙恭,616,孙,,Sun gong,吴,Wu,,,,孙暠,,,,吴郡,富春,孙坚弟孙静之孙，任散骑侍郎，孙峻之父,
李歆,617,李,,Li xin,魏,Wei,,,,,,,,,,事迹同句安,
徐质,618,徐,,Xu zhi,魏,Wei,,254,,,,,,,,魏军将领，姜维伐魏，徐质与其交锋，为其阵斩,
邓艾,619,邓,士载,Deng ai,魏,Wei,195,264,70,,,义阳棘阳,,义阳,棘阳,起家微贫。司马懿识其才，辟为掾。长水校尉，安西将军，征西将军。伐蜀，胜。后与其子并为卫瓘所杀,
王经,620,王,彦纬，一字承宗,Wang jing,魏,Wei,,260,,,,冀州清河,,清河,,出身清贫，255年，姜维攻陇西，王经出狄道城迎击，不敌。幸为陈泰，邓艾所救。曹髦欲诛司马昭，谋于王经，王业，王沈。王业，王沈告密。经后与其母并为司马昭所杀,
胡奋,621,胡,玄威,Hu fen,晋,Jin,,288,,胡遵,208,安定临泾,,安定,临泾,胡遵之子，胡烈之兄。仕魏晋，官至尚书右仆射，加镇军大将军、开府仪同三司,
王祕,622,王,,Wang mi,魏,Wei,,,,,,,,,,魏将，另有一王秘。武威郡人，曾斩杀张掖郡和鸾,
孙峻,623,孙,子远,Sun jun,魏,Wei,219,256,38,孙恭,616,吴郡富春,,吴郡,富春,曾祖父孙静为孙坚之弟。孙权死前遗诏孙峻与诸葛恪、滕胤辅政。与孙亮诛诸葛恪，夷其三族。赐死废太子孙和。后图谋伐魏，发病而死,
司马孚,624,司马,叔达,Sima fu,汉，魏，晋,Jin,180,272,93,司马芳,170,河内温县,,河内,温县,司马懿三弟，官至晋朝太宰、假黄钺、大都督中外诸军事,
武陔,625,武,元夏,Wu gai,晋,Jin,,266,,,,沛国竹邑,,沛国,竹邑,曹叡时任下邳郡太守，好品评人物，官至司隶校尉，太仆卿,
陈恂,626,陈,,Chen xun,魏,Wei,,,,陈泰,614,,,,,陈泰嗣子,
陈温,627,陈,,Chen wen,魏,Wei,,,,陈泰,614,,,,,陈恂死后无子，陈温嗣侯,
陈登,628,陈,元龙,Chen deng,汉,EastHan,163,201,39,,,下邳淮浦,,下邳,淮浦,官至伏波将军,
陈本,629,陈,休元,Chen ben,魏,Wei,,,,陈矫,274,临淮东阳,,临淮,东阳,陈矫长子,
陈骞,630,陈,休渊,Chen qian,晋,Jin,201,281,81,陈矫,274,临淮东阳,,临淮,东阳,陈矫子，晋功臣，官至晋太尉，大司马,
徐宣,631,徐,宝坚,Xu xuan,魏,Wei,,236,,,,广陵海西,,广陵,海西,与陈矫同事陈登，后与之共投曹操，官至侍中光禄大夫,
司马歧,632,司马,,Sima qi,魏,Wei,,,,司马芝,589,河内温县,,河内,温县,司马芝之子，早卒,
陈粲,633,陈,,Chen can,魏,Wei,,,,陈本,629,临淮东阳,,临淮,东阳,陈本嗣子,
薛悌,634,薛,孝威,Xue ti,魏,Wei,,,,,,兖州,,东郡,,仕曹魏，历任兖州从事、泰山郡太守、尚书令、中护军督军，最后官至尚书,
卫弥,635,卫,,Wei mi,魏,Wei,,,,,,,,,,海西，淮浦县民作乱，都尉卫弥，令梁习夜奔徐宣家,
扈质,636,扈,,Hu zhi,魏,Wei,,,,,,,,,,曹操将，督军。见徐宣传,
徐钦,637,徐,,Xu qin,魏,Wei,,,,徐宣,631,广陵海西,,广陵,海西,徐宣嗣子,
卫兹,638,卫,子许,Wei zi,汉,EastHan,,190,,,,陈留襄邑,,陈留,襄邑,卫臻父，资曹操起兵，荥阳之战时身亡。,
何苗,639,何,叔达,He miao,汉,EastHan,,,,,,,,,,何进的异父异母弟，何进谋诛宦官，苗泄计于太后。何进为宦官所杀。何苗为何进部下所杀。,
朱越,640,朱,,Zhu yue,汉,EastHan,,,,,,兖州,,东郡,,曾谋反曹操,
曹霖,641,曹,,Cao lin,魏,Wei,,251,,曹丕,5,沛国谯,,沛国,谯,曹丕子，封东海王，其子为曹髦,
卫烈,642,卫,,Wei lie,魏,Wei,,,,卫臻,125,,,,,卫臻嗣子，“三豫”之一,
卫京,643,卫,,Wei jing,魏,Wei,,,,卫臻,125,,,,,卫臻子,
卫楷,644,卫,,Wei kai,魏,Wei,,,,卫臻,125,,,,,卫臻子,
卫权,645,卫,伯舆,Wei quan,晋,Jin,,,,卫楷,644,,,,,卫楷子，晋惠帝时任尚书郎,
杨骏,646,杨,文长,Yang jun,晋,Jin,,291,,,,弘农华阴,,弘农,华阴,杨震幼子杨奉后裔，晋武帝皇后之父。司马炎死后执政，为贾后及诸王所图，灭三族。,
卢毓,647,卢,子家,Lu yu,魏,Wei,183,257,75,卢植,1106,涿郡涿县,,涿郡,涿县,卢植第四子，随曹丕。曹睿时任吏部尚书。曹髦时官至司空,
张角,648,张,,Zhang jiao,汉,EastHan,,184,,,,钜鹿,,钜鹿,,黄巾起义首领，起事后不久病死,
张让,649,张,,Zhang rang,汉,EastHan,,189,,,,颍川,,颍川,,宦官，十常侍之首。灵帝言：“张让是我公，赵忠是我母”。杀何进之后，胁皇帝及陈留王出宫，为何进部曲追及，投河而死,
崔琰,650,崔,季珪,Cui yan,汉,EastHan,163,216,54,,,清河东武城,,清河,东武城,原属袁绍，后随曹操。后为曹操所责，自尽,
郑冲,651,郑,文和,Zheng chong,晋,Jin,,274,,,,荥阳开封,,荥阳,开封,仕曹魏，官至太保。入晋，官至太傅。好研经史,
阮武,652,阮,文业,Ruan wu,魏,Wei,,,,阮谌,292,陈留尉氏,,陈留,尉氏,阮籍族兄。曹魏末年官终清河太守,
孙邕,653,孙,宗儒,Sun yong,魏,Wei,,,,,,济南,,济南,,仕曹魏，黄初间为渤海太守十数年。后代卢毓为吏部尚书。加光禄大夫，领太史令,
韩暨,654,韩,公至,Han ji,魏,Wei,,238,,,,南阳堵阳,,南阳,堵阳,曹操占荆州，辟为丞相士曹属。黄初七年，迁太常，后升司徒,
崔林,655,崔,德儒,Cui lin,魏,Wei,,245,,,,清河东武城,,清河,东武城,崔琰从弟，仕曹魏，官至司空,
毕轨,656,毕,昭先,Bi gui,魏,Wei,,249,,,,东平国,,东平,国,仕曹魏，党曹爽，至司隶校尉。高平陵事变后夷三族,
王观,657,王,伟台,Wang guan,魏,Wei,,260,,,,东郡廪丘,,东郡,廪丘,为曹操召为丞相文学掾，历任高唐、酂县和任县令。曹丕称帝，任尚书郎。官至司空,
卢钦,658,卢,子若,Lu qin,晋,Jin,,,,卢毓,647,涿郡涿县,,涿郡,涿县,卢毓长子，西晋时官至尚书仆射,
卢藩,659,卢,,Lu fan,晋,Jin,,,,,,涿郡涿县,,涿郡,涿县,卢毓嗣孙,
卢珽,660,卢,子笏,Lu ting,晋,Jin,,,,卢毓,647,涿郡涿县,,涿郡,涿县,卢钦弟，西晋时任侍中，卫尉卿,
卢浮,661,卢,子云,Lu fu,晋,Jin,,,,卢钦,658,涿郡涿县,,涿郡,涿县,卢钦子，病疽，截手。尝任国子博士，祭酒，秘书监,
